PEID,Affinity Bloc,People Cluster,Continent,Sub-Continent,Country,Country of Origin,People Group,Global Status of  Evangelical Christianity,Evangelical Engagement,Population,Dispersed (Yes/No),ROL,Language,Religion,Nomadic,Nomadic Type,Nomadic Description,Published Scripture,Jesus Film,Radio Broadcast,Gospel Recording,Audio Scripture,Gospel Films,Resources,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Latitude,Longitude,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,EGIDS
23944,Arab World,"Arab World, generic",Asia,Southern Asia,Afghanistan,,Arab,1,No,"15,500",No,abh,Tajiki Arabic - (abh),Islam - Sunni,,,,Yes,No,No,Yes,No,No,2,Extreme,Not Free,Very High,High,Level 4: Do not travel,A001,C0237,109734,"Arab, Tajiki",AFG,AF,,36.962875,66.788102,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,1
49335,Arab World,"Arab World, generic",Europe,Western Europe,Belgium,Without Homeland,North Africans,1,No,"477,000",,ary,Moroccan Arabic - (ary),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Low,Free,Moderate,Moderate,Level 2: Exercise increased caution,A001,C0237,117251,"North African, generic",BEL,BE,,50.837001,4.368,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,2
49404,Arab World,"Arab World, generic",Europe,Western Europe,France,Without Homeland,North Africans,1,No,"1,860,000",,ary,Moroccan Arabic - (ary),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Low,Free,Moderate,High,Level 2: Exercise increased caution,A001,C0237,117251,"North African, generic",FRA,FR,,48.8567,2.3508,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,3
49337,Arab World,"Arab World, generic",Europe,Western Europe,Netherlands,Without Homeland,North Africans,1,Yes,"258,000",,ary,Moroccan Arabic - (ary),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Little,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0237,117251,"North African, generic",NLD,NL,,52.373001,4.894999,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
49338,Arab World,"Arab World, generic",Europe,Western Europe,Netherlands,,Red Sea Peoples,1,No,"40,500",,nld,Dutch - (nld),Islam - Sunni,,,,Yes,Yes,Yes,Yes,Yes,No,5,Little,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0237,115690,"Arab, generic",NLD,NL,,52.061,4.334,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,1
24493,Arab World,"Arab World, generic",Asia,Central Asia,Tajikistan,Afghanistan,Arab,1,Yes,"2,500",Yes,abh,Tajiki Arabic - (abh),Islam - Sunni,,,,Yes,No,No,Yes,No,No,2,Strenuous,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0237,109734,"Arab, Tajiki",TJK,TI,AF,37.345832,68.128981,Central Asian Peoples,,1,Engaged yet Unreached,6b
24653,Arab World,"Arab World, generic",Asia,Central Asia,Uzbekistan,,Arab,1,No,"6,000",,abh,Tajiki Arabic - (abh),Islam - Sunni,,,,Yes,No,No,Yes,No,No,2,Medium,Not Free,Very High,Low,Level 1: Exercise normal precautions,A001,C0237,110474,"Arab, Uzbeki",UZB,UZ,,41.263189,69.224324,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,6b
17321,Arab World,"Arab, Arabian",Americas,South America,Argentina,Without Homeland,Arab,1,Yes,"30,000",Yes,spa,Spanish - (spa),Islam - Sunni,,,,Yes,Yes,Yes,Yes,Yes,No,5,Low,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,ARG,AR,,-34.5878,-58.4869,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,0
7830,Arab World,"Arab, Arabian",Oceania,Australia and New Zealand,Australia,Without Homeland,Arab,2,No,"575,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Little,Free,Low,High,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUS,AS,,-33.897339,151.244671,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
4,Arab World,"Arab, Arabian",Europe,Western Europe,Austria,Without Homeland,Arab,1,No,"7,200",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Low,Free,Moderate,High,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUT,AU,,48.200779,16.351657,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
42660,Arab World,"Arab, Arabian",Asia,Western Asia,Bahrain,United Arab Emirates,"Arab, Bahraini Sunni",1,No,"108,000",Yes,afb,Gulf Arabic - (afb),Islam - Sunni,,,,Yes,Yes,No,Yes,No,No,3,Low,Not Free,Moderate,Low,Level 1: Exercise normal precautions,A001,C0013,100427,"Arab, Gulf",BHR,BA,AE,26.136371,50.60272,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,3
11297,Arab World,"Arab, Arabian",Asia,Western Asia,Bahrain,,"Arab, Bahraini, Shia",2,Yes,"425,000",No,afb,Gulf Arabic - (afb),Islam - Shia,,,,Yes,Yes,No,Yes,No,No,3,Low,Not Free,Moderate,Low,Level 1: Exercise normal precautions,A001,C0013,100772,"Arab, Bahraini",BHR,BA,,26.118077,50.572334,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
16194,Arab World,"Arab, Arabian",Americas,Caribbean,Barbados,Without Homeland,Arab,1,No,150,Yes,arb,Standard Arabic - (arb),Islam,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,BRB,BB,,13.127212,-59.627675,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
16532,Arab World,"Arab, Arabian",Americas,South America,Brazil,Without Homeland,Arab,2,Yes,"1,410,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Free,Low,Moderate,Level 2: Exercise increased caution,A001,C0013,100425,Arab,BRA,BR,,-23.610646,-46.719511,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,0
14463,Arab World,"Arab, Arabian",Africa,Eastern Africa,Burundi,Without Homeland,Arab,1,No,"2,900",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Extreme,Not Free,Low,Low,Level 3: Reconsider travel,A001,C0013,100425,Arab,BDI,BY,,-3.38752,29.377888,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
47413,Arab World,"Arab, Arabian",Americas,Northern America,Canada,United Arab Emirates,"Arab, Gulf",1,Yes,"31,000",Yes,afb,Gulf Arabic - (afb),Islam - Sunni,,,,Yes,Yes,No,Yes,No,No,3,Little,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100427,"Arab, Gulf",CAN,CA,AE,43.684403,-79.353124,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
15270,Arab World,"Arab, Arabian",Africa,Eastern Africa,Comoros,Without Homeland,Arab,1,Yes,850,Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Extreme,Partly Free,Moderate,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,COM,CN,,-11.76925,43.259717,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,0
14477,Arab World,"Arab, Arabian",Africa,Middle Africa,"Congo, DR",Without Homeland,Arab,1,No,"23,500",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Extreme,Not Free,Moderate,High,Level 3: Reconsider travel,A001,C0013,100425,Arab,COD,CG,,-4.369865,15.311802,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
24959,Arab World,"Arab, Arabian",Americas,Central America,Costa Rica,Without Homeland,Arab,1,No,"7,200",Yes,apc,North Levantine Arabic - (apc),Islam,,,,Yes,No,No,Yes,No,No,2,Medium,Free,Moderate,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,CRI,CS,,9.914357,-84.06967,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,3
78,Arab World,"Arab, Arabian",Europe,Northern Europe,Denmark,Without Homeland,Arab,1,No,"1,500",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Little,Free,Moderate,High,Level 2: Exercise increased caution,A001,C0013,100425,Arab,DNK,DA,,55.684471,12.543893,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
42682,Arab World,"Arab, Arabian",Africa,Eastern Africa,Djibouti,Oman,"Arab, Omani",1,No,"82,500",Yes,ayn,Sanaani Arabic - (ayn),Islam - Sunni,,,,Yes,No,No,Yes,No,Yes,3,Extreme,Not Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100431,"Arab, Omani",DJI,DJ,MU,11.578284,43.146695,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,6a
