name,group_type,group_status,health_metrics,start_date,end_date,church_start_date,member_count,leader_count,contact_address,assigned_to,location_grid,parent_groups,child_groups,peer_groups,members,leaders,coaches,four_fields_unbelievers,four_fields_believers,four_fields_accountable,four_fields_church_commitment,four_fields_multiplying,requires_update
"Grace Community Church",church,active,"church_baptism; church_bible; church_communion; church_fellowship; church_giving; church_prayer; church_praise; church_sharing; church_leaders; church_commitment",2020-01-15,,2022-03-10,45,3,"123 Church St, Faithville, USA",1,100089589,,,"234; Downtown Church Plant; 567; Leadership Development; House Church Network","123; Robert Wilson; 901","John Smith; 456","789; John Smith",8,35,15,yes,5,false
"New Believers Group",group,active,"church_baptism; church_bible; church_communion; church_fellowship",2023-06-01,,,12,2,"456 Meeting Hall, Hopetown, USA",2,100089590,"234","567",,"123; Maria Garcia; 789","456; Sarah Williams","John Smith; 456",2,8,6,no,1,false
"Seeker Study Circle",pre-group,active,"church_bible; church_fellowship",2023-09-15,,,8,1,"789 Community Center, Seekerville, USA",2,100089591,"234",,,"456; Jennifer Davis","890","789",6,2,0,no,0,true
"Downtown Church Plant",church,active,"church_baptism; church_bible; church_communion; church_fellowship; church_giving; church_prayer; church_praise; church_sharing; church_leaders; church_commitment",2021-05-20,,2023-01-08,28,2,"321 Urban Ave, Metro City, USA",1,100089592,"234","901; Outreach Team Beta",,"456; Robert Wilson; 890","David Johnson; 789","456; Robert Wilson",5,20,12,yes,3,false
"Youth Ministry Team",team,active,"church_bible; church_fellowship; church_sharing",2022-02-14,,,15,4,"654 Youth Center, Youngstown, USA",3,100089593,"234",,,"901; Amanda Thomas; Lisa Anderson","James Taylor; 1001","James Taylor; 789",10,5,8,no,2,true
"Closed House Church",church,inactive,"church_baptism; church_bible; church_communion; church_fellowship; church_giving",2019-03-01,2023-08-30,2020-06-15,0,0,"987 Residential St, Oldville, USA",1,100089594,,,,,,,0,0,0,yes,0,false
"Prayer Group Alpha",group,active,"church_bible; church_prayer; church_fellowship",2023-11-01,,,6,1,"147 Prayer Room, Spiritual Heights, USA",3,100089595,"902",,"1002","890; Jennifer Davis","890","123; Robert Wilson",1,5,4,no,0,false
"Leadership Development",team,active,"church_bible; church_leadership; church_sharing",2023-04-10,,,10,3,"258 Training Center, Leadership City, USA",1,100089596,"234",,,"456; Robert Wilson; 901","David Johnson; 789; James Taylor","456; Robert Wilson",2,8,10,no,1,true
"Outreach Team Beta",team,active,"church_sharing; church_fellowship",2023-08-05,,,7,2,"369 Outreach Hub, Evangelism Town, USA",3,100089597,"902",,"1003","890; Amanda Thomas","890","456; Robert Wilson",0,5,3,no,2,false
"House Church Network",church,active,"church_baptism; church_bible; church_communion; church_fellowship; church_giving; church_prayer; church_commitment",2022-10-12,,2023-02-20,22,2,"741 Network Ave, Connected City, USA",1,100089598,"234","1004; Small Group Gamma",,"789; James Taylor; 1001","Robert Wilson; 901","789; David Johnson",3,18,10,yes,4,false 
