ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,RaceCode,Latitude,Longitude,WorkersNeeded
AF,Afghanistan,14372,107989,"Afghan, Tajik","Afghan, Tajik",9900000,1,Y,prs,Dari,4,6,Islam,0.01,0.01,14,A005,Persian-Median,268,C0179,Persian,2,5,"Central Asia",ASI,Asia,Y,CNT24f,31.15621,62.14612,198
AF,Afghanistan,19409,100096,Afshari,Afshari,14000,1,Y,azb,"Azerbaijani, South",4,6,Islam,0.0399999991059303,0.0399999991059303,24,A015,"Turkic Peoples",126,C0028,Azerbaijani,2,5,"Central Asia",ASI,Asia,Y,MSY41a,34.447959999954,69.2897600000239,1
AF,Afghanistan,21454,118270,Aimaq,Aimaq,1506000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,2,5,"Central Asia",ASI,Asia,Y,CNT24z,35.00501,63.128594,30
AF,Afghanistan,15741,110448,"Americans, U.S.","Americans, U.S.",12000,5,N,eng,English,4,1,Christianity,84.5,30,18,A009,"North American Peoples",109,C0011,Anglo-American,104,5,"Central Asia",ASI,Asia,Y,CEW19s,34.528621,69.168549,
AF,Afghanistan,16221,111334,Ansari,Ansari,2300,1,Y,urd,Urdu,4,6,Islam,0,0,21,A012,"South Asian Peoples",312,C0224,"Urdu Muslim",6,5,"Central Asia",ASI,Asia,Y,CNN25r,34.5477699999855,69.3198000003697,1
AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",17000,1,Y,abh,"Arabic, Tajiki Spoken",0,6,Islam,0.200000002980232,0.2,10,A001,"Arab World",324,C0237,"Arab World, general",2,5,"Central Asia",ASI,Asia,Y,CMT30,36.9447,66.80422,1
AF,Afghanistan,16239,111360,"Arora (Hindu traditions)","Arora (Hindu traditions)",1400,1,Y,skr,Saraiki,3,5,Hinduism,0,0,21,A012,"South Asian Peoples",187,C0091,Hindi,3,5,"Central Asia",ASI,Asia,Y,CNN25n,36.187213,70.98060599999999,1
AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",441000,1,Y,bgn,"Balochi, Western",2,6,Islam,0.00999999977648258,0.00999999977648258,14,A005,Persian-Median,129,C0031,Baloch,3,5,"Central Asia",ASI,Asia,Y,CNT24b,30.24139,63.20176,8
AF,Afghanistan,19423,115168,"Bania (Muslim traditions)","Bania (Muslim traditions)",6100,1,Y,urd,Urdu,4,6,Islam,0.230000004172325,0.2,21,A012,"South Asian Peoples",281,C0192,Sindhi,1,5,"Central Asia",ASI,Asia,Y,CNN25#,34.375787,69.435276,1
AF,Afghanistan,16521,111696,Brahmin,Brahmin,3500,1,Y,urd,Urdu,4,5,Hinduism,0,0,21,A012,"South Asian Peoples",357,,Brahmin,7,5,"Central Asia",ASI,Asia,Y,CNN25g,34.294237,69.39251899999999,1
